comment,label
the teacher utilizes instructional aid effectively,1
studentteacher interactivity is evident to boost learning during the lecture discussion,1
the teacher utilizes lecturediscussion method,0
the uses multimedia for the delivery of the lesson however the teacher does not use questionning techniques for critical thinking,0
the teacher utilizes the lecture discussion method,0
he is making the classroom student centered by asking students critical questions most of the time,1
learning objectives outcomes should be clearly given to students before the start of the session,-1
the absence of student interaction is evident during the session offering feedback that encourages a more interactive studentcentered approach can make a substantial positive impact on learning outcomes,-1
students must be aware of the outcomes objectives of the topic prior to starting the lecturediscussion,0
the teacher utilizes innovative teaching approach however there is lacking in studentteacher interactivity,0
the teacher utilizes the reporting as strategy for learning,0
the teacher utilizes no instructional aid aside from whiteboard and pen during the lecture discussion,-1
objective outcomes of the lesson must be given first to students before the start od session,0
learning resources eg slides presentations are not evident during the lecture discussion however the teacher makes the students involved all throughout,0
the teacher lack of student engagement,-1
there is limited opportunities for critical thinking,-1
there is no student motivation,-1
objectives outcomes must be clearly provided to students,0
the teacher conducts oral recitation through singing in foreign language nihongo which is good for the students to learn the language,1
the teacher utilizes the reporting method as teaching strategy,0
students were assigned a topic to reportpresent in the class,0
the teacher provided inputs to supplement the learning,1
expected learning outcomesobjectives were not clearly provided to students,-1
the voice of the teacher can intimidate students resulting to lack of participation from among the students,-1
the teacher delivered his lesson well,1
method of teaching was appropriate to attain the objectives of the lesson,0
utilizes innovative teaching technique,1
the teacher applied the right methodology in delivering her lessons,1
she has audible voice,1
the teacher have assigned the students with topics for reporting,0
teacher did not provide some inputs on the topics presented,-1
interactivity was not evident among students during the lecturediscussion,-1
approriate tools and resources were utilized by the teacher,1
the teacher delivered his lesson in a not so engaging manner,-1
active student interactions was not evident during the lecturediscussion,-1
teacher have assigned students with topics for reporting,0
make your presentation more visible to all students,-1
encourage your students to engage in your discussion,-1
the teacher delivered her lesson in a traditional manner,0
educationa technology was not utilized,-1
the teacher has an audible voice,1
encourage your students to participate in the discussion,-1
the teacher encourages student participation,1
she delivrs her lesson well,1
the teacher provided the students with appropriate learning materials,1
use of multimedia system to support lecture discussion was evident,1
objectives of the topic were not stated for students to be guided,-1
the teacher used multimedia to support delivery of lessons to students,1
apparently there was no student teacher interactivity,-1
the teacher delivers his lesson well however the specific objectives must be explicitly stated so that student may be able to know what to attaingain in that lesson,0
shows mastery of the subject matter,1
the teacher has audible voice,1
the teacher gives students an opportunity to interact by asking relevant questions,1
delivers his lesson well,1
active involvement of students during ecturediscussion was not evident,-1
appropriare use of tools were evident,1
the teacher discusses his lesson with lack of student engagement,-1
maximum student participation is encouraged,0
the subject taught can be difficult to have teachrstudent interaction,0
the teacher should find ways on how students can engage in the lecturediscussion,-1
students are passive,-1
the teacher did not use educational technology for his lesson delivery instead he used the traditional chalkboard discussion,-1
the provision for active teacher student interaction was not evident during the lecture discussion,-1
students are presenting the topics assigned to them through the methods of reporting however the teacher did not give the students the overview of the topics presented,-1
lack studentteacher engagement critical thinking through active questioning about the topic presented,-1
critical thinking is a crucial part during classroom disscussion,0
it is good to notice that you were involving students by answering the questions along with your discussion,1
keep up the good work,1
delivered the lessons very interactive for students,1
students were able to interactively participate during the lecturediscussion,1
educational technology was not used to facilitate lecturediscussion,-1
teacherstudent interaction was not evident,-1
improve student engagement in order for them to be encouraged in participating in the discussion,-1
he engages interactivity in the class,1
appropriate questioning technique was not used by the teacher for the students to have critical thinking especially in problem solving,-1
the teacher states the objectives of the lesson clearly whis is very important before having lecturediscussions,1
the teacher effectively use visual aids and multimedia to enhance learning and comprehension,1
she demonstrates thorough preparation and organization in class session,1
could you let the student answer questions not in unison,0
involved the students in the discussions by asking probing questions,1
classroom interaction was not eviedent during discussion,-1
there was no use of multimedia system or visual aids,-1
lesson ended with no relevant assignment or output of students learning,-1
objectives of the lesson were not mentioned during the lecturediscussion,-1
the figures drawn on the board were not clearly visible especially to those who are seated at the back,-1
the teacher encourages the students to actively participate in the classroom discussion,1
he incorporates demonstration to clearly deliver what is being taught,1
explore incorporating wider range of teaching techniques to accommodate different learning styles and preferences,-1
the teacher provides the learning material for students to demonstrate strong understanding,1
the teacher effectively assesses students learning and provides constructive feedback,1
the teacher discussed the lesson well,1
she used the multimedia system as teaching resource which is good,1
the objectives or learning outcomes of the lesson were not given to students,-1
the teacher incorporates group activities to help students actively participate could you provide more examples to illustrate the concepts,1
the teacher explains the concepts clearly in a way that is engaging for students,1
you may incorporate group activities to increase students participation,0
the teacher utilizes innovative teaching technique such as multimedia,1
teaching aids are readily available,1
the teacher encourages the students to ask questions whenever necessary,1
he provides students with different learning experiences,1
the teacher encourages critical thinking skills among students by posing challenging questions and promoting analytical discussions,1
teaching aids like multimedia is readily available,1
the teacher encourages the students to actively participate during lecturediscussion,1
the teacher could have instructed the students to pickup the plastics and trash,-1
the teacher is prepared,1
the students are particpitaing in the discussion,1
the faculty started on time,1
